Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
146511,0,16.8024,-2.6529,5.2796,-15.7288,5.9087,-1.7058,2.0364,1.0,56.6118,-15.2021,1.8433,-54.5012,15.3134,-1.9818,3.0209,-1.0,9.3724
146511,1,11.9152,3.2098,11.3873,1.4103,11.831,0.1189,1.2961,1.0,0.5566,0.2569,0.3701,0.3093,0.4506,0.6416,0.964,-1.0,1.5284
146511,2,5.4329,-4.9949,-0.7197,-2.0096,5.0464,-0.3884,-2.9985,1.0,4.096,3.6101,-0.2977,1.9091,3.6223,0.5053,-0.0823,-1.0,9.3721
146511,3,4.1493,-2.4297,-2.154,2.5812,3.247,0.7287,-2.4163,-1.0,0.651,0.016,0.1776,-0.6171,0.1784,-1.9546,1.481,1.0,3.0746
146511,4,1.5315,1.2473,-0.0256,-0.8821,1.2475,-0.6584,-0.0206,-1.0,1.7088,-0.9357,-0.394,-1.3704,1.0153,-1.1084,-2.7431,1.0,2.27
146511,5,52.651,31.6784,-24.6455,-34.0763,40.1363,-0.7705,-0.6612,-1.0,40.4043,-26.8521,20.3643,22.2881,33.7007,0.6207,2.4927,1.0,92.0799
146511,6,4.909,-1.3667,3.2743,-3.3908,3.5481,-0.8497,1.9662,-1.0,4.5812,1.3756,-2.9367,3.2341,3.2429,0.8794,-1.1327,1.0,9.4828
146511,7,5.6115,2.4214,0.1273,-5.0595,2.4247,-1.4817,0.0525,1.0,4.8011,-4.4283,0.9484,1.5906,4.5287,0.3444,2.9306,-1.0,9.5501
146511,8,1.0796,-0.6622,0.4945,0.6866,0.8265,0.7565,2.5001,1.0,1.0592,-0.4456,-0.8516,-0.4323,0.9612,-0.4358,-2.0529,-1.0,1.7763
146511,9,8.5913,-1.1798,5.0209,-6.8701,5.1577,-1.0978,1.8016,1.0,7.1922,2.4034,-5.6745,3.7068,6.1625,0.5701,-1.1702,-1.0,15.4009
146511,10,9.9494,-2.6343,9.5926,-0.1473,9.9478,-0.0148,1.8388,-1.0,0.3825,-0.1557,0.1652,0.2892,0.227,1.0625,2.3266,1.0,1.9312
146511,11,45.178,3.6467,13.3785,42.9972,13.8666,1.8498,1.3047,-1.0,44.1415,-0.0688,-8.4855,-43.3181,8.4857,-2.3328,-1.5789,1.0,89.1131
146511,12,1.42,0.0973,-0.1894,-1.4,0.213,-2.582,-1.0962,1.0,2.8456,2.6026,1.0964,0.3326,2.8241,0.1175,0.3987,-1.0,2.9906
146511,13,3.9402,2.7041,-0.8074,-2.7477,2.822,-0.8626,-0.2902,1.0,7.4981,-6.5097,3.1484,-1.9803,7.2311,-0.2705,2.6911,-1.0,9.4083
146511,14,1.4626,0.0537,-1.4435,0.2031,1.4445,0.1401,-1.5336,1.0,3.131,-1.6422,-2.5234,0.8531,3.0107,0.2797,-2.1477,-1.0,1.3136
146511,15,20.3145,-3.8754,-2.683,-19.7598,4.7135,-2.1403,-2.5361,1.0,31.839,-5.5958,-5.6041,-30.8381,7.9195,-2.0687,-2.3554,-1.0,1.2053
